LOCATION,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.0,192.0,192.0,130.0,123.0,132.0,110.0,125.0,99.0,91.0,65.0,62.0,73.0,76.0,81.0,84.0,60.0,,,
NLD,8011.0,8114.0,8039.0,8173.0,8589.0,8501.0,8218.0,8013.0,8146.0,8514.0,8892.0,9177.0,9255.0,8886.0,8790.0,9007.0,8919.0,9396.0,9664.0,10235.0,11060.0,13300.0,14300.0,13700.0,12800.0,13000.0,13100.0,14200.0,14900.0,15000.0,15400.0,15500.0,15500.0,14500.0,14079.0,14730.0,15889.0,15546.0,15313.0,15400.0,14600.0,16500.0,16100.0,17700.0,16200.0,15800.0,16900.0,17800.0,22600.0,19400.0,9200.0
NOR,1930.0,1970.0,2021.0,1991.0,2211.0,2271.0,2338.0,2377.0,2449.0,2636.0,2751.0,2767.0,2575.0,2530.0,2532.0,2567.0,2588.0,2563.0,2459.0,2459.0,2430.0,2487.0,2511.0,2588.0,2703.0,2681.0,2803.0,2941.0,3071.0,3416.0,3353.0,3272.0,2989.0,2896.0,2683.457775,2723.402598,2832.39148,2957.95521,3106.985939,3080.143787,3134.383471,3075.974123,3091.569419,3260.0,3440.0,3555.0,3695.0,3584.0,3722.0,3715.0,1804.0
NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.54,743.27,776.56,
POL,36891.0,37228.0,38782.0,39647.0,41670.0,42819.0,42799.0,44312.0,46716.0,45473.0,46325.0,48238.0,49266.0,50153.0,53179.0,51978.0,48526.0,48285.0,52134.0,55888.0,50373.0,40115.0,32571.0,30865.0,27610.0,26635.0,26569.0,25806.0,25664.0,26198.0,24092.0,22469.0,20749.0,19638.0,18690.0,18157.0,18552.0,19859.0,20195.0,18637.0,17921.0,18177.0,17826.0,16797.0,16015.0,17367.0,19175.0,20319.0,21043.0,22056.0,12557.0
PRT,3546.0,3569.0,3761.0,4106.0,4552.0,4856.0,5235.0,5235.0,5514.0,5635.0,6076.0,5856.0,5414.0,5195.0,5456.0,5725.0,5803.0,5907.0,6036.0,5908.0,5664.0,5688.0,5694.0,5397.0,5149.0,4869.0,4503.0,4563.0,4602.0,4380.0,3834.0,3899.0,3926.0,3585.0,3633.0,3753.0,3876.0,3987.0,4213.0,4152.0,4111.0,4143.0,3803.0,3649.0,3852.0,3957.0,4146.0,4391.0,4487.0,4964.014,2552.0
ROU,17793.0,18811.0,20184.0,21228.0,22406.0,22380.0,23077.0,23206.0,22811.0,22724.0,23220.0,24379.0,25578.0,27676.0,28785.0,31082.0,32304.0,33520.0,34643.0,35456.0,30582.0,25429.0,24269.0,19402.0,18313.0,18879.0,18356.0,15795.0,13422.0,12304.0,11632.0,10966.0,8502.0,8529.0,8638.0,7985.0,8092.0,7476.0,6958.0,6128.0,5438.0,5073.0,4571.0,4411.0,4976.0,5149.0,4988.0,5663.0,5577.0,5906.0,
RUS,191100.0,197000.0,204300.0,211300.0,217300.0,221300.0,222000.0,224900.0,230500.0,231200.0,227300.0,235600.0,236400.0,238700.0,240100.0,246300.0,257900.0,264300.0,272500.0,270100.0,274440.0,254963.0,253174.0,272167.0,227102.0,192217.0,181213.0,170318.0,152932.0,141042.0,167054.0,157901.0,152871.0,157573.0,164272.0,172217.0,177838.0,174085.0,175872.0,151467.0,138885.0,139742.0,144612.0,138517.0,130027.0,120644.0,124620.0,123096.0,129542.0,133589.0,78573.9
SRB,3671.0,3385.0,3227.0,3310.0,3266.0,3136.0,3166.0,3410.0,3465.0,3259.0,3352.0,3322.0,3609.0,3774.0,3804.0,3888.0,4193.0,4022.0,3882.0,4316.0,4452.0,2675.0,2544.0,3076.0,2299.0,2326.0,1415.0,1304.0,1368.0,789.0,1236.0,1047.0,954.0,809.0,821.0,713.0,684.0,687.0,583.0,522.0,522.0,541.0,540.0,612.0,453.0,509.0,438.0,377.0,347.0,285.0,157.0
SVK,,,,,,,,,,,,,,,,,,,,,,,,4569.0,4548.0,4202.0,3769.0,3057.0,3092.0,2968.0,2870.0,2805.0,2682.0,2316.0,2228.0,2182.0,2213.0,2165.0,2296.0,2264.0,2309.0,2431.0,2459.0,2485.0,2583.0,3411.0,3595.0,3873.0,3915.0,4093.0,2180.0
SVN,1498.0,1548.0,1450.0,1452.0,1428.0,1468.0,1309.0,1364.0,1426.0,1446.0,1436.0,1458.0,1566.0,1566.0,1594.0,1667.0,1682.0,1596.0,1553.0,1542.0,1429.0,814.0,547.0,566.0,590.0,595.0,613.0,616.0,645.0,623.0,705.0,715.0,749.0,777.0,764.0,777.0,793.0,812.0,834.0,840.0,813.0,773.0,742.0,760.0,697.0,709.0,680.0,650.0,656.0,698.0,397.0
SWE,4600.0,4000.0,4500.0,4600.0,5500.0,5615.0,5617.0,5563.0,5557.0,6224.0,6998.0,7062.0,6695.0,6776.0,6797.0,6911.0,6571.0,6433.0,6669.0,6647.0,6600.0,5985.0,5963.0,6422.0,6507.0,6833.0,6953.0,7022.0,7210.0,7701.0,8243.0,8732.0,8874.0,8834.0,8658.0,8936.0,9617.0,10261.0,11146.0,11321.0,11155.0,11378.0,11792.0,11842.0,12121.0,12650.0,12800.0,13331.0,13546.798247255,14617.207234121,8129.0
TUR,5561.0,5738.0,5337.0,5215.0,5753.0,4736.0,4615.0,5087.0,5600.0,6799.0,6011.0,6105.0,5440.0,5722.0,6277.0,6489.0,6052.0,6174.0,6708.0,6844.0,6410.0,6048.0,6259.0,7147.0,6335.0,5797.0,5229.0,5840.0,6160.0,6146.0,5832.0,5568.0,5204.0,5878.0,5163.0,5036.0,5277.0,5553.0,5097.0,5374.0,5584.0,7122.0,6361.0,6225.0,7401.0,8326.0,7829.0,8465.0,8938.0,14259.0,8297.0
UKR,,,,,,,,,,,,,,,,,,,,,76038.0,70968.0,76196.0,75896.0,70882.0,63752.0,59080.0,54433.0,49938.0,47600.0,51767.0,49661.0,50544.0,52558.0,51726.0,52655.0,53230.0,53089.0,53056.0,48327.0,50248.0,50593.0,49329.0,48981.0,35865.0,35367.0,36839.0,28075.0,28685.0,28413.0,10696.0
USA,,,,,,,,,,18770.035430843,22079.197517351,21865.609594934,22746.357703048,23490.391327033,23910.674990425,25977.28144892,25198.095303748,24409.622511445,25044.071809908,24776.56200888,21992.139519369,22537.137660948,22151.49330055,22171.189669086,22604.639868202,22079.197517351,21865.609594934,22746.357703048,23490.391327033,23910.674990425,25977.28144892,25198.095303748,24409.622511445,25044.071809908,24776.56200888,25393.591629483,27296.432407703,30357.906712861,32143.406016433,30906.931637514,31871.671919151,32579.510200833,34125.70065511,36047.104941171,36393.106488533,36043.875681391,35892.157355569,33256.0,31963.0,32483.0,12460.0
